Metrics,Dimensions
ga:goalStartsAll,ga:dcmClickCreative
ga:goalConversionRateAll,ga:dcmClickRenderingId
ga:goalCompletionsAll,ga:dcmClickCreativeType
ga:goalAbandonsAll,ga:dcmClickCreativeTypeId
ga:goalAbandonRateAll,ga:dcmClickCreativeVersion
ga:fatalExceptionsPerScreenview,ga:dcmClickSite
ga:fatalExceptions,ga:dcmClickSiteId
ga:exceptionsPerScreenview,ga:dcmClickSitePlacement
ga:exceptions,ga:dcmClickSitePlacementId
ga:eventValue,ga:dcmClickSpotId
ga:eventsPerSessionWithEvent,ga:dcmFloodlightActivity
ga:dsRevenuePerClick,ga:dcmFloodlightActivityAndGroup
ga:dsReturnOnAdSpend,ga:dcmFloodlightActivityGroup
ga:dsProfit,ga:dcmFloodlightActivityGroupId
ga:dsImpressions,ga:dcmFloodlightActivityId
ga:dsCTR,ga:dcmFloodlightAdvertiserId
ga:dsCPC,ga:dcmFloodlightSpotId
ga:dsCost,ga:dcmLastEventAd
ga:dsClicks,ga:dcmLastEventAdId
ga:dfpViewableImpressionsPercent,ga:dcmLastEventAdType
ga:dfpRevenuePer1000Sessions,ga:dcmLastEventAdTypeId
ga:dfpRevenue,ga:dcmLastEventAdvertiser
ga:dfpMonetizedPageviews,ga:dcmLastEventAdvertiserId
ga:dfpImpressionsPerSession,ga:dcmLastEventAttributionType
ga:dfpImpressions,ga:dcmLastEventCampaign
ga:dfpECPM,ga:dcmLastEventCampaignId
ga:dfpCTR,ga:dcmLastEventCreativeId
ga:dfpCoverage,ga:dcmLastEventCreative
ga:dfpClicks,ga:dcmLastEventRenderingId
ga:dcmRPC,ga:dcmLastEventCreativeType
ga:dcmROAS,ga:dcmLastEventCreativeTypeId
ga:dcmImpressions,ga:dcmLastEventCreativeVersion
ga:dcmFloodlightRevenue,ga:dcmLastEventSite
ga:dcmFloodlightQuantity,ga:dcmLastEventSiteId
ga:dcmCTR,ga:dcmLastEventSitePlacement
ga:dcmCPC,ga:dcmLastEventSitePlacementId
ga:dcmCost,ga:dcmLastEventSpotId
ga:dcmClicks,ga:landingContentGroupXX
ga:dbmROAS,ga:previousContentGroupXX
ga:dbmImpressions,ga:contentGroupXX
ga:dbmCTR,ga:userAgeBracket
ga:dbmCPM,ga:userGender
ga:dbmCPC,ga:interestOtherCategory
ga:dbmCPA,ga:interestAffinityCategory
ga:dbmCost,ga:interestInMarketCategory
ga:dbmConversions,ga:dfpLineItemId
ga:dbmClicks,ga:dfpLineItemName
ga:CTR,ga:acquisitionCampaign
ga:CPM,ga:acquisitionMedium
ga:CPC,ga:acquisitionSource
ga:costPerTransaction,ga:acquisitionSourceMedium
ga:costPerGoalConversion,ga:acquisitionTrafficChannel
ga:costPerConversion,ga:browserSize
ga:contentGroupUniqueViewsXX,ga:campaignCode
ga:cohortTotalUsersWithLifetimeCriteria,ga:channelGrouping
ga:cohortTotalUsers,ga:checkoutOptions
ga:cohortSessionsPerUserWithLifetimeCriteria,ga:cityId
ga:cohortSessionDurationPerUserWithLifetimeCriteria,ga:cohort
ga:cohortSessionDurationPerUser,ga:cohortNthDay
ga:cohortRevenuePerUserWithLifetimeCriteria,ga:cohortNthMonth
ga:cohortRetentionRate,ga:cohortNthWeek
ga:cohortPageviewsPerUserWithLifetimeCriteria,ga:continentId
ga:cohortPageviewsPerUser,ga:countryIsoCode
ga:cohortGoalCompletionsPerUserWithLifetimeCriteria,ga:dataSource
ga:cohortGoalCompletionsPerUser,ga:dbmClickAdvertiser
ga:cohortAppviewsPerUserWithLifetimeCriteria,ga:dbmClickAdvertiserId
ga:cohortAppviewsPerUser,ga:dbmClickCreativeId
ga:cohortActiveUsers,ga:dbmClickExchange
ga:calcMetric_<NAME>,ga:dbmClickExchangeId
ga:backfillViewableImpressionsPercent,ga:dbmClickInsertionOrder
ga:backfillRevenuePer1000Sessions,ga:dbmClickInsertionOrderId
ga:backfillRevenue,ga:dbmClickLineItem
ga:backfillMonetizedPageviews,ga:dbmClickLineItemId
ga:backfillImpressionsPerSession,ga:dbmClickSite
ga:backfillImpressions,ga:dbmClickSiteId
ga:backfillECPM,ga:dbmLastEventAdvertiser
ga:backfillCTR,ga:dbmLastEventAdvertiserId
ga:backfillCoverage,ga:dbmLastEventCreativeId
ga:backfillClicks,ga:dbmLastEventExchange
ga:avgEventValue,ga:dbmLastEventExchangeId
ga:adsenseViewableImpressionPercent,ga:dbmLastEventInsertionOrder
ga:adsenseRevenue,ga:dbmLastEventInsertionOrderId
ga:adsensePageImpressions,ga:dbmLastEventLineItem
ga:adsenseExits,ga:dbmLastEventLineItemId
ga:adsenseECPM,ga:dbmLastEventSite
ga:adsenseCTR,ga:dbmLastEventSiteId
ga:adsenseCoverage,ga:dsAdGroup
ga:adsenseAdUnitsViewed,ga:dsAdGroupId
ga:adsenseAdsViewed,ga:dsAdvertiser
ga:adsenseAdsClicks,ga:dsAdvertiserId
ga:adCost,ga:dsAgency
ga:adClicks,ga:dsAgencyId
ga:7dayUsers,ga:dsCampaign
ga:30dayUsers,ga:dsCampaignId
ga:28dayUsers,ga:dsEngineAccount
ga:1dayUsers,ga:dsEngineAccountId
ga:14dayUsers,ga:dsKeyword
,ga:dsKeywordId
,ga:experimentCombination
,ga:experimentName
,ga:internalPromotionCreative
,ga:internalPromotionId
,ga:internalPromotionName
,ga:internalPromotionPosition
,ga:isTrueViewVideoAd
,ga:metroId
,ga:nthHour
,ga:orderCouponCode
,ga:productBrand
,ga:productCategoryHierarchy
,ga:productCategoryLevelXX
,ga:productCouponCode
,ga:productListName
,ga:productListPosition
,ga:productVariant
,ga:regionId
,ga:regionIsoCode
,ga:shoppingStage
,ga:subContinentCode
